mid,smiles,ref_smiles,IsValid,QED,SAs,HIA,IsNovel,IsSuccess
1,Cc1ccc(S(=O)(=O)OCC(O)C[N+]2(C)CC(O)C2)cc1,0,True,0.56,3.34,0.004943555321451409,False,False
2,O=C(O)CC1(NC(=O)C2CC(=O)Nc3ccccc32)CCC1,0,True,0.79,2.98,0.14487671926319612,True,False
3,C=CCN1C(=NC(=O)CCCC)SC2CS(=O)(=O)CC21,0,True,0.72,3.73,0.9202790043288029,False,True
4,CCc1ccc(C(=O)N2CCOC(CNC)C2)o1,0,True,0.86,2.87,0.9983657057430906,True,True
5,CC1CCCCN1S(=O)(=O)Nc1ccc(C(=O)O)nc1,0,True,0.87,2.79,0.8047585738534923,True,True
6,Cc1ccc(S(=O)(=O)N2CCOC(C(=O)N(C)C3CCCCC3)C2)cc1,0,True,0.8,2.76,0.9788656641129551,True,True
7,Cc1ccc(OCC(=O)N2CCC(C(O)c3ccccc3)CC2)c(C)c1,0,True,0.89,2.46,0.9592213595125021,False,True
8,CC(c1ccccc1)N1CC(=O)N2CC(NC(=O)CCc3ccccc3)CC2CO1,0,True,0.8,3.59,0.9987714077740789,True,True
9,C#CCOC(=O)N1CCC(Nc2c(Cl)cnc3[nH]ccc23)C1,0,True,0.85,3.32,0.9730062613522638,True,True
10,O=S1(=O)CC(O)C(N2CCn3cnnc3C2)C1,0,True,0.64,3.79,0.9986319269090587,False,True
11,COc1cc2c(cc1OC)C1C(COC(=O)c3ccccc3)CSC(=Nc3ccccc3)N1CC2,0,True,0.43,3.42,0.15854974335430172,False,False
12,O=C1NC(=O)C2(CCCCCC2)C(=O)N1Cc1ccccc1,0,True,0.85,2.64,0.9480015869765888,True,True
13,O=S(=O)(NCC(O)c1ccc(-c2cccs2)s1)c1cccc2ccccc12,0,True,0.48,2.83,0.9993724408089972,True,False
14,C=CC(=O)Nc1cccc(C(=O)Nc2c[n+](C(C)(C)C)no2)c1,0,True,0.67,2.93,0.9138828224745548,True,True
15,COC(=O)CC1CCCCN1c1c(N)cccc1C(=O)N(C)C,0,True,0.68,2.92,0.920876373380705,True,True
