mid,smiles,ref_smiles,IsValid,QED,SAs,HIA,IsNovel,IsSuccess
1,Cc1ccc(S(=O)(=O)OCC2CCc3ccc(NC(=O)Nc4ccccc4)cc3C2=O)cc1,0,True,0.51,2.82,0.8759950267687859,True,False
2,O=C(O)CC1(NC(=O)C2CC(=O)N(c3ccc(Cl)cc3)C2)CCCC1,0,True,0.84,2.82,0.7002493645031622,True,True
3,COc1ccc(C(=O)NCC(=O)NC2(CC(=O)O)CCCC2)cc1OC,0,True,0.64,2.23,0.13973486785685518,True,False
4,CCc1ccc(C2C(C#N)=C(N)N(NC(=O)c3ccncc3)C3=C2C(=O)CC(C)(C)C3)cc1,0,True,0.75,3.23,0.999033018535693,False,True
5,CC1CC(C(=O)O)CN(C(=O)COc2ccccc2[N+](=O)[O-])C1,0,True,0.65,2.89,0.7353407186282432,True,True
6,Cc1ccc(S(=O)(=O)N2CCOC(C)C2)cc1C(=O)N1CCOCC1,0,True,0.79,2.65,0.9957997950625203,True,True
7,CC(C)C(O)C(=O)Nc1ccc(N(C)CCO)cc1,0,True,0.72,2.57,0.9280240609749885,True,True
8,O=C1CCN(Cc2ccccc2)CCC2(CC1)CN(c1cccc(F)c1)C(=O)CO2,0,True,0.78,3.81,0.9908773930016892,True,True
9,CC1=C(C(=O)O)C(c2ccccc2OCc2ccccc2)C2=C(CC(C)(C)CC2=O)N1,0,True,0.72,2.82,0.9360448423540254,True,True
10,CC(C)(CO)NCc1csc([N+](=O)[O-])c1,0,True,0.59,2.77,0.6692576618384001,True,False
11,COC(=O)c1cc(OC)c(OC)cc1NC(=O)C1CCN(C(=O)N(C)C)CC1,0,True,0.77,2.17,0.7631761215413163,True,True
12,Cc1ccc(N=C2SC(=Cc3ccc(OCC(=O)O)cc3)C(=O)N2C)c(O)c1,0,True,0.75,2.49,0.0967816289922736,False,False
13,N#Cc1c(N2CCOCC2)nc(N2CCOCC2)c2c1CCN(C(=O)Cc1ccc3c(c1)OCO3)C2,0,True,0.63,2.83,0.9911186723023901,True,True
14,COC(=O)c1ccc(NC(=O)C2CC(=O)N(C(C)c3ccccc3)C2)cc1,0,True,0.83,2.66,0.9433051628857396,True,True
